CANDIDATE_ID,CANDIDATE_NAME,AGE,CONSTITUENCY,STATE,PARTY,NO_PENDING_CRIMINAL_CASES,EDUCATION,EARNINGS,STATE_LITERACY_RATE,STATE_SEAT_SHARE,PARTY_GRP_IDX,AGE_GROUP_IDX,EDUCATION_GROUP_IDX,DELTA_STATE_VOTER_TURNOUT,NO_OF_PHASES
5820,Kumra Raju,29,ADILABAD,TELANGANA,IND,0,10th Pass,30000.0,0.665,0.031,1,5,1,-0.0814,1
5824,Pawar Krishna,39,ADILABAD,TELANGANA,IND,0,Post Graduate,1140000.0,0.665,0.031,1,4,4,-0.0814,1
5069,Bapu Rao Soyam,52,ADILABAD,TELANGANA,BJP,52,12th Pass,2867964.09,0.665,0.031,3,2,2,-0.0814,1
5813,Ganta Pentanna,47,ADILABAD,TELANGANA,IND,0,Post Graduate,670000.0,0.665,0.031,1,3,4,-0.0814,1
5816,Bheem Rao,33,ADILABAD,TELANGANA,Ambedkarite Party of India,0,5th Pass,274000.0,0.665,0.031,1,4,0,-0.0814,1
5821,Kumram Vandana,35,ADILABAD,TELANGANA,Nava Praja Rajyam Party,0,Illiterate,1300000.0,0.665,0.031,1,4,0,-0.0814,1
4588,Ramesh Rathod,53,ADILABAD,TELANGANA,INC,3,12th Pass,21191000.0,0.665,0.031,3,2,2,-0.0814,1
5814,Godam Nagesh,54,ADILABAD,TELANGANA,TRS,0,Post Graduate,18477888.0,0.665,0.031,2,2,4,-0.0814,1
5819,Aare Ellanna,53,ADILABAD,TELANGANA,IND,0,5th Pass,30000.0,0.665,0.031,1,2,0,-0.0814,1
5823,Nethavath Ramdas,46,ADILABAD,TELANGANA,IND,0,Literate,0.0,0.665,0.031,1,3,0,-0.0814,1
5815,Dharavth Narendhar,27,ADILABAD,TELANGANA,Janasena Party,0,Post Graduate,50000.0,0.665,0.031,1,5,4,-0.0814,1
5521,Preeta Harit,54,AGRA,UTTAR PRADESH,INC,0,Post Graduate,55075753.0,0.6972,0.147,3,2,4,0.0121,7
7132,Ambedkari Hasnuram Ambedkari,64,AGRA,UTTAR PRADESH,IND,1,Literate,-83800.0,0.6972,0.147,1,1,0,0.0121,7
7135,Raja,30,AGRA,UTTAR PRADESH,Rashtriya Vyapari Party,0,8th Pass,948885.0,0.6972,0.147,1,4,0,0.0121,7
5522,Satyapal Singh Baghel,58,AGRA,UTTAR PRADESH,BJP,5,Doctorate,65667514.0,0.6972,0.147,3,2,5,0.0121,7
7133,Babu Lal,63,AGRA,UTTAR PRADESH,IND,0,Graduate,5015863.0,0.6972,0.147,1,1,3,0.0121,7
7136,Ramji Lal Vidhyarthi,61,AGRA,UTTAR PRADESH,Peace Party,3,10th Pass,318500.0,0.6972,0.147,1,1,1,0.0121,7
5519,Manoj Kumar Soni,47,AGRA,UTTAR PRADESH,BSP,0,Post Graduate,111532488.0,0.6972,0.147,3,3,4,0.0121,7
7134,Himanshi,26,AGRA,UTTAR PRADESH,Lok Gathbandhan Party,0,Graduate,30000.0,0.6972,0.147,1,5,3,0.0121,7
10032,Mahesh Prabhudas Ahuja,57,AHMEDABAD EAST,GUJARAT,IND,1,Others,9609132.0,0.7931,0.048,1,2,0,0.0045,1
