STATE,NO_CONTESTING_CANDIDATES,PENDING_CRIMINAL_CASES_PER_CANDIDATE
KERALA,218,3.3
DAMAN AND DIU,4,3.25
WEST BENGAL,355,0.94
LAKSHADWEEP,6,0.83
DADRA AND NAGAR HAVELI,11,0.82
BIHAR,487,0.8
ODISHA,173,0.72
UTTAR PRADESH,794,0.71
MAHARASHTRA,836,0.63
TELANGANA,439,0.54
JHARKHAND,186,0.51
ANDHRA PRADESH,315,0.48
GUJARAT,371,0.4
TAMIL NADU,803,0.33
GOA,12,0.33
MANIPUR,19,0.26
HARYANA,223,0.25
ASSAM,144,0.25
RAJASTHAN,249,0.24
MADHYA PRADESH,351,0.24
KARNATAKA,469,0.22
UTTARAKHAND,51,0.2
PUDUCHERRY,17,0.18
JAMMU AND KASHMIR,79,0.18
NATIONAL CAPITAL TERRITORY OF DELHI,159,0.17
TRIPURA,23,0.17
ARUNACHAL PRADESH,12,0.17
CHHATTISGARH,165,0.16
ANDAMAN AND NICOBAR ISLANDS,15,0.07
MIZORAM,6,0.0
NAGALAND,4,0.0
MEGHALAYA,9,0.0
SIKKIM,11,0.0
