CONSTITUENCY,STATE,POSTFIX_CODE,INDEX
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,1,1
AMALAPURAM,ANDHRA PRADESH,7,2
ANAKAPALLE,ANDHRA PRADESH,5,3
ANANTAPUR,ANDHRA PRADESH,19,4
ARAKU,ANDHRA PRADESH,1,5
BAPATLA,ANDHRA PRADESH,15,6
CHITTOOR,ANDHRA PRADESH,25,7
ELURU,ANDHRA PRADESH,10,8
GUNTUR,ANDHRA PRADESH,13,9
HINDUPUR,ANDHRA PRADESH,20,10
KADAPA,ANDHRA PRADESH,21,11
KAKINADA,ANDHRA PRADESH,6,12
KURNOOL,ANDHRA PRADESH,18,13
MACHILIPATNAM,ANDHRA PRADESH,11,14
NANDYAL,ANDHRA PRADESH,17,15
NARASARAOPET,ANDHRA PRADESH,14,16
NARSAPURAM,ANDHRA PRADESH,9,17
NELLORE,ANDHRA PRADESH,22,18
ONGOLE,ANDHRA PRADESH,16,19
RAJAHMUNDRY,ANDHRA PRADESH,8,20
RAJAMPET,ANDHRA PRADESH,24,21
SRIKAKULAM,ANDHRA PRADESH,2,22
TIRUPATI,ANDHRA PRADESH,23,23
VIJAYAWADA,ANDHRA PRADESH,12,24
VISAKHAPATNAM,ANDHRA PRADESH,4,25
VIZIANAGARAM,ANDHRA PRADESH,3,26
ARUNACHAL EAST,ARUNACHAL PRADESH,2,27
ARUNACHAL WEST,ARUNACHAL PRADESH,1,28
AUTONOMOUS DISTRICT,ASSAM,3,29
BARPETA,ASSAM,6,30
DHUBRI,ASSAM,4,31
DIBRUGARH,ASSAM,13,32
GAUHATI,ASSAM,7,33
JORHAT,ASSAM,12,34
KALIABOR,ASSAM,11,35
KARIMGANJ,ASSAM,1,36
KOKRAJHAR,ASSAM,5,37
LAKHIMPUR,ASSAM,14,38
MANGALDOI,ASSAM,8,39
NAWGONG,ASSAM,10,40
SILCHAR,ASSAM,2,41
TEZPUR,ASSAM,9,42
ARARIA,BIHAR,9,43
ARRAH,BIHAR,32,44
AURANGABAD,BIHAR,37,45
BANKA,BIHAR,27,46
BEGUSARAI,BIHAR,24,47
BHAGALPUR,BIHAR,26,48
BUXAR,BIHAR,33,49
DARBHANGA,BIHAR,14,50
GAYA,BIHAR,38,51
GOPALGANJ,BIHAR,17,52
HAJIPUR,BIHAR,21,53
JAHANABAD,BIHAR,36,54
JAMUI,BIHAR,40,55
JHANJHARPUR,BIHAR,7,56
KARAKAT,BIHAR,35,57
KATIHAR,BIHAR,11,58
KHAGARIA,BIHAR,25,59
KISHANGANJ,BIHAR,10,60
MADHEPURA,BIHAR,13,61
MADHUBANI,BIHAR,6,62
MAHARAJGANJ,BIHAR,19,63
MUNGER,BIHAR,28,64
MUZAFFARPUR,BIHAR,15,65
NALANDA,BIHAR,29,66
NAWADA,BIHAR,39,67
PASCHIM CHAMPARAN,BIHAR,2,68
PATALIPUTRA,BIHAR,31,69
PATNA SAHIB,BIHAR,30,70
PURNIA,BIHAR,12,71
PURVI CHAMPARAN,BIHAR,3,72
SAMASTIPUR,BIHAR,23,73
SARAN,BIHAR,20,74
SASARAM,BIHAR,34,75
SHEOHAR,BIHAR,4,76
SITAMARHI,BIHAR,5,77
SIWAN,BIHAR,18,78
SUPAUL,BIHAR,9,79
UJIARPUR,BIHAR,22,80
VAISHALI,BIHAR,16,81
VALMIKI NAGAR,BIHAR,1,82
CHANDIGARH,CHANDIGARH,1,83
BASTAR,CHHATTISGARH,10,84
BILASPUR,CHHATTISGARH,5,85
DURG,CHHATTISGARH,7,86
JANJGIR CHAMPA,CHHATTISGARH,3,87
KANKER,CHHATTISGARH,11,88
KORBA,CHHATTISGARH,4,89
MAHASAMUND,CHHATTISGARH,9,90
RAIGARH,CHHATTISGARH,2,91
RAIPUR,CHHATTISGARH,8,92
RAJNANDGAON,CHHATTISGARH,6,93
SURGUJA,CHHATTISGARH,1,94
DADRA AND NAGAR HAVELI,DADRA AND NAGAR HAVELI,1,95
DAMAN AND DIU,DAMAN AND DIU,1,96
NORTH GOA,GOA,1,97
SOUTH GOA,GOA,2,98
AHMEDABAD EAST,GUJARAT,7,99
AHMEDABAD WEST,GUJARAT,8,100
AMRELI,GUJARAT,14,101
ANAND,GUJARAT,16,102
BANASKANTHA,GUJARAT,2,103
BARDOLI,GUJARAT,23,104
BHARUCH,GUJARAT,22,105
BHAVNAGAR,GUJARAT,15,106
CHHOTA UDAIPUR,GUJARAT,21,107
DAHOD,GUJARAT,19,108
