CANDIDATE_ID,CANDIDATE_NAME,AGE_GROUP_INDEX,CONSTITUENCY_INDEX,STATE_INDEX,PARTY_INDEX,NO_PENDING_CRIMINAL_CASES,EARNINGS_POINTS,STATE_LITERACY_RATE,STATE_SEAT_SHARE,PARTY_GRP_IDX,EDUCATION_GROUP_IDX,DELTA_STATE_VOTER_TURNOUT,NO_OF_PHASES,RE_CONTEST,SEX_INDEX,VOTING_PERCENTAGE
4917,KULDEEP RAI SHARMA,2,1,1,243,0,1,0.8627,0.002,3,3,-0.0549,1,0,0,0.4598
5714,VISHAL JOLLY,3,1,1,187,1,0,0.8627,0.002,3,3,-0.0549,1,0,0,0.453
5715,PARITOSH KUMAR HALDAR,1,1,1,244,0,0,0.8627,0.002,1,4,-0.0549,1,0,0,0.0258
4694,SANJAY MESHACK,3,1,1,8,0,0,0.8627,0.002,2,2,-0.0549,1,0,0,0.0137
5458,PRAKASH MINJ,3,1,1,189,0,0,0.8627,0.002,3,4,-0.0549,1,0,0,0.012
4954,AYAN MANDAL,4,1,1,26,0,1,0.8627,0.002,3,3,-0.0549,1,0,0,0.0083
7203,HENRY,2,1,1,244,0,0,0.8627,0.002,1,1,-0.0549,1,0,0,0.0048
7202,K VENKAT RAM BABU,3,1,1,244,0,0,0.8627,0.002,1,1,-0.0549,1,0,0,0.0044
4955,MINATI BISWAS,2,1,1,244,0,0,0.8627,0.002,1,0,-0.0549,1,0,1,0.003
5717,S SUDERSHAN RAO,2,1,1,244,0,0,0.8627,0.002,1,5,-0.0549,1,0,0,0.0023
5457,V V KHALID,2,1,1,244,0,0,0.8627,0.002,1,0,-0.0549,1,0,0,0.0015
7200,K KALIMUTHU,1,1,1,244,0,0,0.8627,0.002,1,0,-0.0549,1,0,0,0.0013
5716,C U RASHEED,4,1,1,244,0,0,0.8627,0.002,1,2,-0.0549,1,0,0,0.0013
7201,GOUR CHANDRA MAJUMDER,2,1,1,244,0,0,0.8627,0.002,1,3,-0.0549,1,0,0,0.0011
5456,C G SAJI KUMAR,3,1,1,48,0,0,0.8627,0.002,1,2,-0.0549,1,0,0,0.001
5028,CHINTA ANURADHA,3,2,2,675,0,0,0.674,0.046,2,3,0.0524,1,0,1,0.3942
5026,GANTI HARISH MADHUR,4,2,2,637,0,0,0.674,0.046,2,3,0.0524,1,0,0,0.3619
5027,MOJAS RAJA SEKHAR DUGGIRALA,2,2,2,288,1,0,0.674,0.046,1,4,0.0524,1,0,0,0.2071
5772,MANEPALLI AYYAJI VEMA,2,2,2,187,0,0,0.674,0.046,3,3,0.0524,1,0,0,0.0094
5029,JANGA GOUTHAM,3,2,2,243,0,1,0.674,0.046,3,3,0.0524,1,0,0,0.0064
6222,REVU SUDHAKAR,4,2,2,244,0,0,0.674,0.046,1,1,0.0524,1,0,0,0.0023
5769,MORTHA SIVARAMA KRISHNA,5,2,2,454,0,0,0.674,0.046,1,3,0.0524,1,0,0,0.0016
5770,MURALIKRISHNA KANDERI,3,2,2,246,0,0,0.674,0.046,1,0,0.0524,1,0,0,0.0015
6223,PANTHAGADA VIJAYA CHAKRAVARTHY,1,2,2,557,0,0,0.674,0.046,1,4,0.0524,1,0,0,0.0015
5771,RAJANI CHELLE,4,2,2,286,0,0,0.674,0.046,1,3,0.0524,1,0,0,0.001
5018,DR.BEESETTI VENKATA SATYAVATHI,2,3,2,675,0,1,0.674,0.046,2,3,0.0524,1,0,1,0.4733
5017,ADARI ANAND KUMAR,3,3,2,637,0,0,0.674,0.046,2,1,0.0524,1,0,0,0.4013
6201,CHINTALA PARTHA SARATHI,2,3,2,288,0,0,0.674,0.046,1,4,0.0524,1,0,0,0.0667
6200,DR GANDI VENKATA SATYANARAYANA RAO,1,3,2,187,0,1,0.674,0.046,3,4,0.0524,1,0,0,0.0107
6202,RUTHALA SRIRAMA MURTHY,3,3,2,243,0,1,0.674,0.046,3,3,0.0524,1,0,0,0.0082
4676,VADLAMURI KRISHNA SWAROOP,3,3,2,203,0,0,0.674,0.046,1,4,0.0524,1,0,0,0.0036
6203,APPALA NAIDU TUMMAGONTA,4,3,2,244,0,0,0.674,0.046,1,1,0.0524,1,0,0,0.003
5020,P.S.AJAY KUMAR,2,3,2,200,3,0,0.674,0.046,1,4,0.0524,1,0,0,0.0022
6204,TAADI VEERA JAGADEESHWARI,1,3,2,454,0,0,0.674,0.046,1,0,0.0524,1,0,1,0.0015
4677,K B SWAROOP,2,3,2,286,0,0,0.674,0.046,1,3,0.0524,1,0,0,0.0013
6944,LINGUTLA RANGAIAH,1,4,2,244,0,0,0.674,0.046,1,0,0.0524,1,0,0,0.5179
4715,TALARI RANGAIAH,3,4,2,675,2,0,0.674,0.046,2,5,0.0524,1,0,0,0.5179
4714,VISWA PRASAD YADAV SANKIREDDY,2,4,2,244,0,0,0.674,0.046,1,4,0.0524,1,0,0,0.4126
4623,JUTURU CHINNA REDDY PAVAN REDDY,3,4,2,637,0,0,0.674,0.046,2,3,0.0524,1,0,0,0.4126
4807,K RAJIV REDDY,4,4,2,243,0,1,0.674,0.046,3,3,0.0524,1,0,0,0.0224
6943,JAGADEESH DEVARAGUDI,2,4,2,197,9,0,0.674,0.046,3,0,0.0524,1,0,0,0.0151
6942,HAMSA DEVINENI,4,4,2,187,0,1,0.674,0.046,3,4,0.0524,1,0,1,0.0057
6946,POTHURU RANGAIAH,3,4,2,244,0,0,0.674,0.046,1,0,0.0524,1,0,0,0.0027
6947,SOMANATH DESHMUKH,2,4,2,244,0,0,0.674,0.046,1,1,0.0524,1,0,0,0.0024
6949,VADDE KASINATH,5,4,2,244,0,0,0.674,0.046,1,0,0.0524,1,0,0,0.0015
6945,PADCHURI RADHA KRISHNA,3,4,2,455,0,0,0.674,0.046,1,3,0.0524,1,0,0,0.0009
4716,M.VENKATESULU,3,4,2,454,0,0,0.674,0.046,1,1,0.0524,1,0,0,0.0008
4806,G. LALITHA,2,4,2,621,0,0,0.674,0.046,1,3,0.0524,1,0,1,0.0007
6941,GIDDAMA RANGANAYAKULU,3,4,2,666,0,0,0.674,0.046,1,4,0.0524,1,0,0,0.0005
4784,GODDETI MADHAVI,5,5,2,675,0,0,0.674,0.046,2,3,0.0524,1,0,1,0.5232
4783,VYRICHERLA KISHORE CHANDRA SURYANARAYANA DEO,1,5,2,637,0,1,0.674,0.046,2,4,0.0524,1,0,0,0.3146
4787,VAMPURU GANGULAIAH,3,5,2,288,3,0,0.674,0.046,1,1,0.0524,1,0,0,0.0398
4785,DR. KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY KOSURI,2,5,2,187,0,0,0.674,0.046,3,5,0.0524,1,0,0,0.0166
4687,SHRUTI DEVI VYRICHERLA,3,5,2,243,0,1,0.674,0.046,3,3,0.0524,1,0,1,0.0165
6173,KANGALA BALADORA,1,5,2,244,0,0,0.674,0.046,1,0,0.0524,1,0,0,0.0129
6176,NARAVA SATYAVATHI,4,5,2,244,0,0,0.674,0.046,1,1,0.0524,1,0,1,0.0105
6174,ANUMULA VAMSI KRISHNA,3,5,2,244,0,0,0.674,0.046,1,4,0.0524,1,0,0,0.0095
6172,BIDDIKA RAMAIAH,2,5,2,244,0,0,0.674,0.046,1,0,0.0524,1,0,0,0.0073
4786,SWAMULA SUBRAHAMANYAM,2,5,2,286,0,0,0.674,0.046,1,3,0.0524,1,0,0,0.0044
